,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,B90M,C,75,75,2015-03-03T05:02:19
0,CC5,C,98,100,2019-12-08T01:31:49
0,CC6,C,35,57,2019-12-08T01:32:10
0,B30,C,95,341,2019-12-08T01:31:53
0,B31,C,214,414,2019-12-08T01:31:53
0,TJ28,C,11,20,2019-12-01T01:38:45
0,TJ31,C,458,458,2019-12-01T08:28:01
0,TJ37,C,384,384,2019-12-01T08:28:01
0,TJSF,C,829,842,2018-08-28T17:22:10
0,AM16,C,80,115,2019-12-08T01:33:31
0,AM32,C,13,91,2019-12-08T01:33:24
0,BJ2,C,147,464,2019-12-08T01:27:44
0,CK48,C,359,590,2019-12-08T01:27:53
0,BE8,C,0,100,2019-12-08T01:32:04
0,SE11,C,151,193,2019-12-08T01:32:13
0,SE20,C,506,531,2019-12-08T01:32:10
0,SE21,C,13,29,2019-12-08T01:32:10
0,SE22,C,3,20,2019-12-08T01:32:10
0,SE23,C,157,191,2019-12-08T01:32:26
0,SE24,C,164,200,2019-12-08T01:32:27
0,SE53,C,308,330,2019-12-08T01:32:00
0,SM9A,C,0,19,2016-04-25T17:56:45
0,SM9B,C,2,28,2016-04-25T17:56:46
0,FR4M,C,5,88,2019-12-08T01:32:05
0,BJ31,C,32,90,2019-12-08T01:27:50
0,BJ32,C,424,960,2019-12-08T01:27:40
0,BJ34,C,59,142,2019-12-08T01:27:31
0,BJ35,C,51,144,2019-12-08T01:27:32
0,BJ36,C,61,144,2019-12-08T01:27:44
0,BJ37,C,698,1034,2019-12-08T01:27:35
0,TP31,C,0,53,2019-12-08T01:33:17
0,BJ38,C,111,218,2019-12-08T01:27:50
0,BJ39,C,355,1129,2019-12-08T01:27:55
0,BJ40,C,358,589,2019-12-08T01:27:50
0,CK38,C,311,702,2019-12-08T01:27:29
0,A38,C,553,942,2019-12-08T01:33:14
0,A43,C,0,158,2019-12-08T01:33:25
0,CK8,C,215,694,2019-12-08T01:27:29
0,CK8A,C,195,376,2019-12-08T01:27:29
0,CK39,C,562,1005,2019-12-08T01:27:46
0,CK41,C,0,874,2019-12-08T01:27:45
0,CK46,C,115,311,2019-12-08T01:27:49
0,CK47,C,0,695,2019-12-08T01:27:38
0,SE32,C,57,400,2019-12-08T01:33:25
0,SE33,C,33,306,2019-12-08T01:33:18
0,SE39,C,96,206,2019-12-08T01:33:38
0,BJ43,C,691,1004,2019-12-08T01:27:35
0,CK22,C,419,756,2019-12-08T01:27:48
0,CK36,C,524,812,2019-12-08T01:27:46
0,CK37,C,100,450,2019-12-08T01:27:48
0,A25,C,295,514,2019-12-08T01:33:12
0,A81,C,14,151,2019-12-08T01:33:31
0,A82,C,0,215,2019-12-08T01:33:29
0,A9,C,50,158,2019-12-08T01:33:40
0,A98,C,8,108,2019-12-08T01:33:41
0,BJ55,C,238,873,2019-12-08T01:27:30
0,BJ56,C,197,557,2019-12-08T01:27:47
0,CK44,C,330,588,2019-12-08T01:27:46
0,CK45,C,0,598,2019-12-08T01:27:28
0,SE35,C,0,156,2019-12-08T01:33:17
0,SE38,C,9,450,2019-12-08T01:33:22
0,SE40,C,352,832,2019-12-08T01:33:16
0,BJ30,C,559,1208,2019-12-08T01:27:43
0,CK16,C,82,310,2019-12-08T01:27:45
0,CK49,C,33,764,2019-12-08T01:27:48
0,CK50,C,107,374,2019-12-08T01:27:53
0,CKT1,C,51,116,2019-12-08T01:27:45
0,CK51,C,223,945,2019-12-08T01:27:56
0,CK12,C,39,203,2019-12-08T01:27:52
0,CK13,C,166,323,2019-12-08T01:27:56
0,CK17,C,37,183,2019-12-08T01:27:28
0,CK30,C,43,144,2019-12-08T01:27:28
0,CK31,C,328,592,2019-12-08T01:27:34
0,BJ41,C,419,786,2019-12-08T01:27:49
0,CK20,C,41,195,2019-12-08T01:27:44
0,CK23,C,45,232,2019-12-08T01:27:46
0,CK34,C,0,648,2019-12-08T01:27:47
0,CKM1,C,473,681,2019-12-08T01:27:31
0,BJ1,C,184,472,2019-12-08T01:27:54
0,BJ48,C,1264,1995,2019-12-08T01:27:28
0,CK33,C,280,472,2019-12-08T01:27:38
0,A37,C,170,195,2019-12-08T01:33:41
0,A39,C,158,262,2019-12-08T01:33:16
0,A68,C,45,142,2019-12-08T01:33:29
0,A70,C,107,134,2019-12-08T01:33:25
0,A71,C,104,185,2019-12-08T01:33:33
0,CK40,C,226,670,2019-12-08T01:27:51
0,A40,C,11,417,2019-12-08T01:33:33
0,A66,C,3,151,2019-12-08T01:33:15
0,A69,C,334,475,2019-12-08T01:33:34
0,A30,C,0,12,2019-12-08T01:33:17
0,AM80,C,0,205,2019-12-08T01:33:24
0,AM81,C,48,230,2019-12-08T01:33:31
0,CC7,C,131,372,2019-12-08T01:32:56
0,B88,C,220,388,2019-12-08T01:32:17
0,B71M,C,252,253,2016-03-09T15:26:24
0,B66,C,190,556,2019-12-08T01:32:18
0,B53,C,25,191,2019-12-08T01:32:54
0,B52,C,82,299,2019-12-08T01:32:54
0,B51,C,72,285,2019-12-08T01:32:54
0,B45B,C,15,64,2015-08-19T13:50:02
0,B45A,C,14,75,2015-08-19T13:50:01
0,B35,C,57,197,2019-12-08T01:32:53
0,B34,C,204,287,2019-12-08T01:32:53
0,B33,C,53,129,2019-12-08T01:32:53
0,B32,C,56,114,2019-12-08T01:32:54
0,KB17,C,26,50,2019-12-08T01:31:19
0,KB10,C,101,164,2019-12-08T01:31:55
0,KB11,C,91,212,2019-12-08T01:31:55
0,SD9,C,16,54,2019-12-08T01:31:53
0,W54,C,178,269,2019-12-08T01:31:12
0,BE23,C,553,563,2019-12-08T01:32:04
0,Y52M,C,131,365,2019-12-08T01:32:13
0,Y9,C,121,259,2019-12-08T01:32:15
0,Y20,C,12,60,2019-12-08T01:32:39
0,Y10,C,320,1194,2019-12-08T01:32:44
0,PM30,C,88,351,2019-12-08T01:32:02
0,PM3,C,168,405,2019-12-08T01:32:19
0,TWM3,C,0,998,2019-12-08T01:27:41
0,CK61,C,646,1272,2019-12-08T01:27:39
0,CK60,C,320,1318,2019-12-08T01:27:32
0,SK91,C,211,384,2019-12-08T01:31:38
0,SK75,C,0,167,2019-12-08T01:33:41
0,SK74,C,69,225,2019-12-08T01:33:46
0,SK88,C,115,369,2019-12-08T01:33:35
0,SK71,C,56,233,2019-12-08T01:33:54
0,SK43,C,167,318,2019-12-08T01:31:35
0,SK70,C,42,162,2019-12-08T01:33:44
0,SK92,C,145,298,2019-12-08T01:31:55
0,SK80,C,39,354,2019-12-08T01:33:39
0,SK72,C,53,200,2019-12-08T01:33:31
0,SK73,C,82,208,2019-12-08T01:33:37
0,SK83,C,0,95,2019-12-08T01:31:40
0,SK86,C,51,374,2019-12-08T01:33:37
0,SK78,C,0,264,2019-12-08T01:33:48
0,SK68,C,74,233,2019-12-08T01:33:32
0,SK3,C,368,706,2019-12-08T01:31:59
0,SK58,C,611,1164,2019-12-08T01:33:40
0,SK62,C,473,646,2019-11-01T10:05:39
0,SK87,C,34,115,2019-12-08T01:32:02
0,CK3A,C,174,517,2019-12-08T01:27:55
0,CK3,C,150,335,2019-12-08T01:27:27
0,CK55,C,100,367,2019-12-08T01:27:54
0,CK29,C,0,20,2019-12-08T01:27:29
0,CK28,C,154,240,2019-12-08T01:27:54
0,AM22,C,351,463,2019-12-08T01:33:13
0,AM20,C,432,606,2019-12-08T01:33:13
0,AM18,C,194,454,2019-12-08T01:33:37
0,A20,C,69,250,2019-12-08T01:33:12
0,A65,C,22,89,2019-12-08T01:33:23
0,A60,C,308,497,2019-12-08T01:33:13
0,A50,C,39,195,2019-12-08T01:33:17
0,HG22,C,19,131,2019-12-08T01:32:13
0,CK25,C,70,178,2019-12-08T01:27:35
